"filename", "language", "YAML", "Dart", "Properties", "Markdown", "Shell Script", "Groovy", "Swift", "C++", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\store\number_trivia_store.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 20, 131
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\widgets\loading_widget.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\widgets\message_display.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\widgets\trivia_controls.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 71
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\widgets\trivia_display.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\features\number_trivia\presentation\widgets\widgets.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\injection_container.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 61
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\lib\main.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\pubspec.yaml", "YAML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 46
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\core\network\network_info_test.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\core\util\input_converter_test.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 50
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\data\datasources\number_trivia_local_data_source_test.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 76
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\data\datasources\number_trivia_remote_data_source_test.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 130
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\data\models\number_trivia_model_test.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 64
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\data\repositories\number_trivia_repository_impl_test.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 24, 248
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\domain\usecases\get_concrete_number_trivia_test.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\domain\usecases\get_random_number_trivia_test.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 38
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\presentation\bloc\number_trivia_bloc_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 1, 228
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\features\number_trivia\presentation\store\number_trivia_store_test.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 24, 242
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\fixtures\fixture_reader.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\fixtures\trivia.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\fixtures\trivia_cached.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Flutter Projects\TDD Course\Mobx\flutter-tdd-clean-architecture-course\test\fixtures\trivia_double.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"Total", "-", 79, 1124, 7, 15, 9, 92, 12, 1, 161, 102, 10, 756, 321, 2689
